idestacion,lat,lon,uso,luns,lune,lunt,mars,mare,mart,mies,miee,miet,jues,juee,juet,vies,viee,viet,sabs,sabt,sabe,doms,dome,domt,totals,totale,tipoestacion
86,19.419,-99.177,810,-0.11,0.29,2,-0.09,0.29,2,-0.09,0.29,2,-0.09,0.3,2,-0.08,0.32,2,-0.11,0.26,2,-0.09,0.27,2,-0.09,0.28,2
87,19.414,-99.177,989,-0.08,0.12,1,-0.06,0.12,1,-0.06,0.12,1,-0.06,0.12,1,-0.05,0.13,1,-0.07,0.11,1,-0.06,0.12,1,-0.06,0.12,1
88,19.394,-99.172,881,-0.13,0.09,1,-0.11,0.12,1,-0.09,0.12,1,-0.08,0.13,1,-0.07,0.17,1,-0.08,0.19,1,-0.06,0.2,1,-0.08,0.14,1
89,19.411,-99.17,1008,-0.12,0.11,1,-0.13,0.1,1,-0.13,0.11,1,-0.13,0.1,1,-0.13,0.12,1,-0.07,0.12,1,-0.06,0.14,1,-0.11,0.11,6
90,19.424,-99.156,992,-0.14,0.09,1,-0.16,0.1,1,-0.16,0.11,1,-0.16,0.09,1,-0.14,0.1,1,-0.11,0.11,6,-0.09,0.15,1,-0.13,0.1,1
91,19.428,-99.134,1009,-0.23,0.19,1,-0.2,0.19,1,-0.18,0.24,1,-0.19,0.22,1,-0.17,0.29,2,-0.12,0.39,2,-0.11,0.54,2,-0.17,0.29,2
92,19.427,-99.135,989,-0.25,0.23,3,-0.16,0.26,2,-0.13,0.28,2,-0.15,0.24,1,-0.14,0.27,2,-0.12,0.22,1,-0.1,0.28,2,-0.15,0.25,2
93,19.428,-99.139,982,-0.2,0.44,2,-0.24,0.46,2,-0.24,0.44,2,-0.21,0.46,2,-0.18,0.49,2,-0.22,0.43,2,-0.19,0.51,2,-0.21,0.46,2
94,19.429,-99.133,930,-0.36,0.31,4,-0.44,0.31,4,-0.42,0.3,4,-0.42,0.31,4,-0.38,0.33,4,-0.16,0.32,2,-0.1,0.42,2,-0.32,0.32,6
95,19.43,-99.146,1001,-0.15,0.17,1,-0.17,0.19,1,-0.16,0.16,6,-0.17,0.17,6,-0.15,0.17,1,-0.11,0.17,1,-0.09,0.23,1,-0.14,0.18,1
